Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,current,2023-08-01,2023-09-30,all,163081,1.0
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,current,2023-08-01,2023-09-30,3+,40770,0.25
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,current,2023-08-01,2023-09-30,1,81540,0.5
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,current,2023-08-01,2023-09-30,2,40770,0.25
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,current,2023-08-01,2023-09-30,3,32616,0.2
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,current,2023-08-01,2023-09-30,4,8154,0.05
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,projected,2023-10-01,2023-12-31,all,163081,1.0
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,projected,2023-10-01,2023-12-31,3+,73386,0.45
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,projected,2023-10-01,2023-12-31,1,40770,0.25
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,projected,2023-10-01,2023-12-31,2,48924,0.3
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,projected,2023-10-01,2023-12-31,3,57078,0.35
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,projected,2023-10-01,2023-12-31,4,16308,0.1
Aug 2023,SOM,16955266,Lower Juba,Jamaame urban,projected,2023-10-01,2023-12-31,5,0,0
